__ manuell	__NO unflekt	Ursprungsform in FreqLi	NO-Form
negativ	ach	ach;	ach;
negativ	ache	ach;	ach;
positiv	adel	adel;adels;adil;adele;	adel;adels;adel;adele;
positiv	allerbezzeste	allerbeste;	allerbezzeste;
positiv	allerbezzesten	allerbesten;	allerbezzesten;
positiv	allerbezziste	allerbest;	allerbezziste;
positiv	allerliebst	allerliebst;	allerliebst;
negativ	angest	angesten;angsten;	angesten;angesten;
negativ	angestbaere	angestbaere;	angestbaere;
negativ	angestbaeren	angestbaeren;	angestbaeren;
negativ	angestlich	angestlichen;angestlich;angestlicher;angestliche;engestlichen;	angestlichen;angestlich;angestlicher;angestliche;angestlichen;
negativ	angestlîche	angestlîche;angestlîcher;	angestlîche;angestlîcher;
negativ	angestlîchen	angestlîchen;	angestlîchen;
negativ	arbaitt	arbaitt;	arbaitt;
negativ	arbeit	arbeit;arbait;arbeiten;arbeite;arbeyt;arbaiten;arebeit	arbeit;arbeit;arbeiten;arbeite;arbeit;arbeiten;
negativ	arc	argen;arge;arges;arc;arger;erger;arg;argem;	argen;arge;arges;arc;arger;arger;arc;argem;
negativ	arg	argen;arge;arges;arc;arger;erger;arg;argem;	argen;arge;arges;arc;arger;arger;arc;argem;
negativ	arcwan	arcwan;	arcwan;
negativ	arcwân	arcwân;	arcwân;
negativ	argwân	arcwân;	arcwân;
negativ	arm	armen;arm;arme;armer;armez;armes;armiu;armin;	armen;arm;arme;armer;armez;armes;armiu;armen;
negativ	armuete	armuete;	armuete;
negativ	armüete	armüete;	armüete;
negativ	armuot	armuot;armut;	armuot;armuot;
negativ	armüete	armuot;armut;	armuot;armuot;
negativ	armüt	armüt;	armüt;
positiv	basz	basz;	basz;
positiv	baz	baz;bas;baß;pas;paß;	baz;baz;baz;baz;baz;
positiv	bazz	baz;bas;baß;pas;paß;	baz;baz;baz;baz;baz;
positiv	behage	behagen;behage;behag;	behagen;behage;behage;
positiv	behagen	behaget;behagt;behagte;	behaget;behagt;behagte;
positiv	behagete	behagete;	behagete;
positiv	behalde	behalde;	behalde;
positiv	behalden	behalden;	behalden;
positiv	behalten	behalten;behielt;behalt;behaltet;behielten;behalte;behielte;behaltent;behilt;beheltet;behaltest;	behalten;behielt;behalt;behaltet;behielten;behalte;behielte;behaltent;behielt;behalt;behaltest;
positiv	behueet	behüt;	behueet;
positiv	behueete	behuet;	behueete;
positiv	behueeten	behuten;behuoten;behueten;	behueeten;behueeten;behueeten;
positiv	behüet	behüet;	behüet;
positiv	behuete	behuete;	behuete;
positiv	behüeten	behüeten;behüete;behüetet;	behüeten;behüete;behüetet;
positiv	behuot	behuot;behut;behuote;	behuot;behuot;behuote;
positiv	behút	behút;	behút;
positiv	beschirm	beschirmen;beschirme;	beschirmen;beschirme;
positiv	beschirmen	beschirmet;	beschirmet;
positiv	beschermen	beschirmet;	beschirmet;
positiv	beßer	beßer;	beßer;
positiv	bestan	bestan;	bestan;
positiv	bestán	bestán;	bestán;
positiv	bestân	bestân;bestên;	bestân;bestên;
positiv	bestanden	bestanden;	bestanden;
positiv	bestanten	bestanden;	bestanden;
positiv	bestat	bestat;	bestat;
positiv	bestât	bestât;	bestât;
positiv	besten	bestet;	bestet;
positiv	bester	bester;	bester;
positiv	bestêt	bestêt;	bestêt;
positiv	bestez	bestez;	bestez;
positiv	bestiu	bestiu;	bestiu;
negativ	beswaerde	beswaerde;	beswaerde;
negativ	beswære	beswæren;	beswæren;
negativ	beswaeren	beswaeren;	beswaeren;
negativ	beswæren	beswârte;beswæret;	beswârte;beswæret;
negativ	beswaeret	beswaeret;besweret;	beswaeret;beswaeret;
negativ	beswâert	beswârt;	beswâert;
negativ	beswert	beswert;	beswert;
negativ	betriegen	betriegen;betrouc;betriuget;betrog;	betriegen;betrouc;betriuget;betrouc;
negativ	betrogen	betrogen;bedrogen;	betrogen;betrogen;
negativ	betrübet	betrübet;	betrübet;
negativ	betrubniß	betrubniß;	betrubniß;
negativ	betrübt	betrübt;	betrübt;
negativ	betrüeben	betrüebet;betrüeben;	betrüebet;betrüeben;
negativ	betrueebet	betrubet;betruebet;	betrueebet;betrueebet;
negativ	betruobt	betrubt;	betruobt;
negativ	betrupt	betrupt;	betrupt;
positiv	bewære	bewæren;	bewæren;
positiv	bewaere	bewaere;	bewaere;
positiv	bewaeren	bewaeren;beweren;	bewaeren;bewaeren;
positiv	bewaeret	bewaeret;	bewaeret;
positiv	bewar	bewar;	bewar;
positiv	beware	bewar;	bewar;
positiv	bewaren	bewaren;	bewaren;
positiv	bewarn	bewarn;bewarte;bewarten;beware;bewaret;	bewarn;bewarte;bewarten;beware;bewaret;
positiv	bewaren	bewarn;bewarte;bewarten;beware;bewaret;	bewarn;bewarte;bewarten;beware;bewaret;
negativ	beweinen	beweinen;beweinet;beweinte;	beweinen;beweinet;beweinte;
positiv	bezzer	bezzer;besser;bezzern;pesser;bezzers;pezzer;beßern;bezer;bessern;pezzern;	bezzer;bezzer;bezzern;bezzer;bezzers;bezzer;bezzern;bezzer;bezzern;bezzern;
positiv	bezzern	bezzert;gebezzert;	bezzert;gebezzert;
positiv	bezzeren	bezzert;gebezzert;	bezzert;gebezzert;
positiv	bezzerunge	bezzerunge;	bezzerunge;
positiv	bezzerz	bessers;bezzerz;	bezzerz;bezzerz;
positiv	bezziste	peste;	bezziste;
positiv	bezzisten	pesten;bestin;	bezzisten;bezzisten;
positiv	biderbe	biderbe;biderben;biderb;biderber;bederbe;	biderbe;biderben;biderbe;biderber;biderbe;
positiv	billich	billich;billichen;pillich;pilleich;billicher;billiche;	billich;billichen;billich;billich;billicher;billiche;
positiv	billîch	billîch;	billîch;
positiv	billich	billîch;	billîch;
positiv	billîche	billîche;billîcher;	billîche;billîcher;
positiv	billîchen	billîchen;	billîchen;
negativ	bitter	bitter;bittern;	bitter;bittern;
negativ	bittere	bitter;bittern;	bitter;bittern;
negativ	bitterkeit	bitterkeit;	bitterkeit;
negativ	bitterlich	bitterlichen;bitterlich;bitterlicher;	bitterlichen;bitterlich;bitterlicher;
negativ	bitterlîche	bitterlîche;bitterlîcher;	bitterlîche;bitterlîcher;
negativ	bitterlîchen	bitterlîchen;	bitterlîchen;
positiv	blanke	blanken;blanke;	blanken;blanke;
positiv	blüemen	geblüemet;geblüemten;	geblüemet;geblüemten;
positiv	blüende	blüende;	blüende;
positiv	blüenden	blüenden;	blüenden;
positiv	blüender	blüender;	blüender;
positiv	blüet	blüet;	blüet;
positiv	blum	blum;	blum;
positiv	bluome	bluomen;blumen;bluome;bluemen;blume;pluomen;	bluomen;bluomen;bluome;bluomen;bluome;bluomen;
negativ	bluot	bluot;bluote;blut;bluotes;blüete;plut;blute;pluet;blutes;bluoten;bloit;	bluot;bluote;bluot;bluotes;blüete;bluot;bluote;bluot;bluotes;bluoten;bluot;
negativ	bluod	bluot;bluote;blut;bluotes;blüete;plut;blute;pluet;blutes;bluoten;bloit;	bluot;bluote;bluot;bluotes;blüete;bluot;bluote;bluot;bluotes;bluoten;bluot;
negativ	blûot	blût;	blûot;
negativ	bluotic	blutig;bluotic;	bluotic;bluotic;
negativ	bluotigen	bluotigen;	bluotigen;
negativ	bluotvar	bluotvar;	bluotvar;
negativ	bluotvarw	bluotvar;	bluotvar;
negativ	boese	boese;boes;boeß;	boese;boese;boese;
negativ	boesem	boesem;	boesem;
negativ	boesen	boesen;bösen;bosen;bosin;posen;poesen;	boesen;boesen;boesen;boesen;boesen;boesen;
negativ	boeser	boeser;böser;boser;	boeser;boeser;boeser;
negativ	boesewiht	boesewiht;	boesewiht;
negativ	boesez	boesez;	boesez;
negativ	boesiu	boesiu;	boesiu;
negativ	boeste	boeste;	boeste;
negativ	boesten	boesten;	boesten;
negativ	bös	bös;	bös;
negativ	bose	bose;	bose;
negativ	böse	böse;	böse;
negativ	bôsen	bôsen;bôse;	bôsen;bôse;
negativ	bosheit	bosheit;boßheit;	bosheit;bosheit;
negativ	bôsheit	bôsheit;	bôsheit;
negativ	böß	böß;	böß;
negativ	bößlich	bößlich;	bößlich;
negativ	boszheit	boszheit;	boszheit;
negativ	brest	bresten;breste;	bresten;breste;
negativ	bresten	brast;gebrosten;	brast;gebrosten;
positiv	brût	brût;briute;	brût;briute;
negativ	büezen	büezen;bott;büeze;büezet;buozte;gebüezet;	büezen;buozte;büeze;büezet;buozte;gebüezet;
positiv	christi	christi;xi;cristi;	christi;christi;christi;
positiv	christo	christo;cristo;	christo;christo;
positiv	christum	christum;cristum;	christum;christum;
